Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,C,22,TOR,20,16,26.3,3.3,8.7,.379,0.4,1.3,.280,3.0,7.5,.396,.399,1.0,1.8,.543,2.3,5.7,8.0,1.6,0.5,0.6,1.1,2.6,7.9
Steven Adams,C,28,MEM,22,22,24.3,2.4,4.8,.505,0.0,0.0,0,2.4,4.8,.505,.505,1.7,2.5,.704,3.5,4.5,8.0,2.7,0.8,0.8,1.5,1.7,6.5
Bam Adebayo,C,24,MIA,18,18,32.9,7.0,13.5,.519,0.0,0.1,.000,7.0,13.4,.521,.519,4.7,6.2,.759,2.7,7.4,10.2,3.2,1.1,0.3,2.9,3.3,18.7
Santi Aldama,PF,21,MEM,11,0,10.2,1.8,4.7,.385,0.3,2.0,.136,1.5,2.7,.567,.413,0.5,0.7,.625,1.2,1.6,2.8,1.1,0.1,0.3,0.0,0.8,4.4
LaMarcus Aldridge,C,36,BRK,21,4,23.1,5.8,10.1,.568,0.5,1.2,.385,5.3,8.9,.594,.592,1.5,1.9,.800,1.4,4.4,5.8,0.9,0.3,1.2,0.7,1.7,13.5
Nickeil Alexander-Walker,SG,23,NOP,25,18,28.8,5.1,13.8,.367,2.0,6.7,.298,3.1,7.1,.433,.439,1.5,1.9,.792,1.1,3.0,4.1,2.6,1.0,0.4,1.5,1.7,13.7
Grayson Allen,SG,26,MIL,23,23,29.0,4.7,10.3,.456,3.1,7.3,.426,1.6,3.0,.529,.608,1.3,1.4,.879,0.6,3.3,3.8,1.4,0.7,0.3,0.7,1.7,13.8
Jarrett Allen,C,23,CLE,20,20,33.3,7.0,9.9,.711,0.1,0.2,.250,7.0,9.7,.720,.713,2.9,4.4,.648,3.5,8.0,11.4,1.9,0.9,1.2,2.1,1.7,16.9
Jose Alvarado,PG,23,NOP,7,0,5.4,0.7,1.9,.385,0.3,0.7,.400,0.4,1.1,.375,.462,0.3,0.4,.667,0.3,0.4,0.7,1.3,0.4,0.0,0.0,0.4,2.0
Kyle Anderson,PF,28,MEM,21,2,21.7,3.1,7.3,.429,0.9,2.4,.360,2.3,5.0,.462,.487,0.7,0.9,.789,1.1,4.1,5.2,2.4,0.9,0.5,1.0,1.4,7.9
Giannis Antetokounmpo,PF,27,MIL,21,21,32.7,9.8,18.4,.532,1.1,4.1,.276,8.7,14.3,.607,.563,6.9,10.2,.673,1.9,10.0,11.8,6.0,1.1,1.7,3.2,2.9,27.6
Thanasis Antetokounmpo,SF,29,MIL,19,5,12.7,1.3,2.9,.455,0.0,0.3,.000,1.3,2.6,.500,.455,0.5,0.9,.588,1.0,2.1,3.1,0.8,0.5,0.2,0.6,1.7,3.2
Carmelo Anthony,PF,37,LAL,24,3,28.5,4.8,11.0,.441,2.6,6.1,.429,2.2,4.8,.457,.561,2.0,2.4,.828,0.6,3.1,3.8,0.9,0.8,0.6,0.8,2.3,14.3
Cole Anthony,PG,21,ORL,18,18,34.4,7.1,16.6,.426,2.7,7.6,.358,4.3,8.9,.484,.508,3.4,3.9,.871,0.5,6.1,6.6,6.0,1.0,0.2,2.9,2.6,20.2
OG Anunoby,SF,24,TOR,15,15,37.3,7.6,17.7,.430,2.7,7.5,.366,4.9,10.2,.477,.508,2.2,2.7,.825,1.6,3.8,5.4,2.7,1.5,0.6,1.7,2.7,20.1
D.J. Augustin,PG,34,HOU,18,0,12.3,1.2,2.8,.412,0.8,2.1,.405,0.3,0.8,.429,.559,0.8,0.8,.933,0.1,0.7,0.8,2.0,0.2,0.0,1.2,0.7,3.9
Deni Avdija,SF,21,WAS,23,0,21.7,2.4,5.5,.433,0.8,2.7,.311,1.6,2.9,.545,.508,0.9,1.4,.656,0.8,4.2,5.0,1.2,0.6,0.8,0.6,2.1,6.5
Joel Ayayi,SG,21,WAS,3,0,2.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0
Deandre Ayton,C,23,PHO,17,17,30.6,7.4,11.9,.619,0.1,0.3,.200,7.3,11.6,.629,.621,1.7,2.8,.617,3.0,8.2,11.2,1.4,0.8,0.7,1.6,2.4,16.5
Udoka Azubuike,C,22,UTA,4,0,2.0,0.3,0.3,1.000,0.0,0.0,0,0.3,0.3,1.000,1.000,0.0,0.0,0,0.3,0.8,1.0,0.0,0.0,0.0,0.3,0.0,0.5
Marvin Bagley III,PF,22,SAC,8,0,17.5,2.3,4.8,.474,0.5,1.8,.286,1.8,3.0,.583,.526,0.9,1.5,.583,1.3,4.0,5.3,0.8,0.1,0.1,0.8,1.0,5.9
LaMelo Ball,PG,20,CHO,24,24,33.3,7.3,17.3,.418,2.9,7.5,.391,4.3,9.9,.439,.502,2.6,2.9,.900,1.5,6.2,7.7,8.3,1.9,0.4,3.3,3.1,20.0
Lonzo Ball,PG,24,CHI,23,23,34.7,4.5,10.9,.414,3.0,7.0,.429,1.5,3.9,.389,.552,0.3,0.3,.750,0.8,4.4,5.2,4.9,1.7,0.8,2.3,2.6,12.3
Mo Bamba,C,23,ORL,23,23,29.8,4.3,9.4,.461,1.4,4.1,.337,3.0,5.3,.557,.535,0.8,1.1,.720,2.3,6.8,9.1,1.8,0.9,2.2,1.4,2.8,10.9
Desmond Bane,SF,23,MEM,22,22,28.4,5.9,12.6,.466,2.5,6.4,.390,3.4,6.2,.544,.565,1.1,1.2,.889,0.5,3.5,4.0,2.0,0.8,0.4,1.5,2.5,15.3
